config_id,model_name,iteration,stl_score,model_size,avg_bits,avg_pruning,stl_satisfied,timestamp,threshold_relaxation,robustness_coherence,robustness_attention,robustness_context,robustness_factual
17,gpt2,16,0.05592828989028931,228.7880859375,14.979166666666666,0.0,True,20250317_122440,0.0,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533
18,gpt2,17,0.05592828989028931,228.3662109375,14.9375,0.0,True,20250317_122440,0.0,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533
19,gpt2,18,0.05592828989028931,227.9443359375,14.895833333333334,0.0,True,20250317_122440,0.0,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533
20,gpt2,19,0.05592828989028931,227.7333984375,14.875,0.0,True,20250317_122440,0.0,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533
21,gpt2,20,0.028311587870121002,223.7958984375,14.583333333333334,0.0,True,20250317_122440,0.0,0.028311587870121002,0.27303463220596313,0.2744229733943939,0.22675113379955292
22,gpt2,21,0.02396116405725479,222.9521484375,14.5,0.0,True,20250317_122440,0.0,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693
23,gpt2,22,0.02396116405725479,222.5302734375,14.458333333333334,0.0,True,20250317_122440,0.0,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693
24,gpt2,23,0.02396116405725479,222.1083984375,14.416666666666666,0.0,True,20250317_122440,0.0,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693
25,gpt2,24,0.02396116405725479,221.6865234375,14.375,0.0,True,20250317_122440,0.0,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693
26,gpt2,25,0.02396116405725479,221.2646484375,14.333333333333334,0.0,True,20250317_122440,0.0,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693
27,gpt2,26,0.02396116405725479,221.0537109375,14.3125,0.0,True,20250317_122440,0.0,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693
28,gpt2,27,0.037163637578487396,220.7724609375,14.229166666666666,0.0,True,20250317_122440,0.0,0.037163637578487396,0.24554027616977692,0.2692573368549347,0.07035933434963226
29,gpt2,28,0.007614024914801121,216.8349609375,13.9375,0.0,True,20250317_122440,0.0,0.007614024914801121,0.23190326988697052,0.2648521959781647,0.47275233268737793
30,gpt2,29,0.007614024914801121,216.6943359375,13.895833333333334,0.0,True,20250317_122440,0.0,0.007614024914801121,0.23190326988697052,0.2648521959781647,0.47275233268737793
31,gpt2,30,0.007614024914801121,216.5537109375,13.854166666666666,0.0,True,20250317_122440,0.0,0.007614024914801121,0.23190326988697052,0.2648521959781647,0.47275233268737793
